latitude,longitude,altitude
39.79307517,-86.23891707,0.234755054
39.79306343,-86.23891721,0.231110156
39.79305105,-86.23891736,0.227177918
39.793037,-86.23891751,0.222719446
39.79302163,-86.23891766,0.217815548
39.79300636,-86.2389178,0.212923437
39.79299029,-86.23891796,0.207772821
39.7929729,-86.23891812,0.202161938
39.79295469,-86.23891828,0.196306765
39.79293624,-86.23891845,0.190401644
39.79291645,-86.23891863,0.184047088
39.79289525,-86.23891882,0.177186668
39.79287456,-86.23891902,0.170479566
39.79285181,-86.23891924,0.16322428
39.79282898,-86.23891946,0.15589042
39.79280544,-86.23891969,0.14826709
39.79278117,-86.23891993,0.140486374
39.79275623,-86.23892018,0.132514104
39.79273138,-86.23892043,0.124575727
39.79270588,-86.23892069,0.116388813
39.79267811,-86.23892097,0.107383102
39.79264969,-86.23892127,0.098270282
39.79262233,-86.23892156,0.089370579
39.79259351,-86.23892186,0.08011125
39.79256318,-86.23892219,0.070415109
39.79253499,-86.23892249,0.061190426
39.79250532,-86.23892282,0.051688612
39.79247417,-86.23892316,0.0417891
39.79244247,-86.23892351,0.03157717
39.79241021,-86.23892388,0.021220326
39.79237744,-86.23892425,0.010587186
39.79234415,-86.23892463,-0.00015232
39.79231139,-86.23892501,-0.01066342
39.79227711,-86.23892541,-0.021696389
39.79224235,-86.23892581,-0.032981142
39.79220712,-86.23892623,-0.044477344
39.79217142,-86.23892666,-0.055818275
39.79213418,-86.23892711,-0.067849219
39.7920987,-86.23892754,-0.079299062
39.79206168,-86.23892799,-0.091200322
39.79202312,-86.23892847,-0.103673741
39.79198413,-86.23892896,-0.116287798
39.79194704,-86.23892942,-0.128147483
39.79190724,-86.23892992,-0.141003609
39.79186586,-86.23893045,-0.154307708
39.79182766,-86.23893094,-0.166877791
39.79178669,-86.23893147,-0.180011556
39.79174534,-86.23893201,-0.193315163
39.79170486,-86.23893254,-0.206784219
39.79166278,-86.2389331,-0.220104575
39.7916191,-86.23893368,-0.234072626
39.79157759,-86.23893424,-0.247547805
39.79153574,-86.2389348,-0.261017501
39.79149229,-86.23893539,-0.275197387
39.79144722,-86.23893601,-0.289773464
39.79140571,-86.23893658,-0.303061664
39.79135998,-86.23893722,-0.317876548
39.79131657,-86.23893783,-0.33198899
39.79127155,-86.23893845,-0.328781188
39.79122631,-86.23893908,-0.365291804
39.79118079,-86.23893972,-0.376481533
39.79113632,-86.23894033,-0.390180975
39.79109157,-86.23894095,-0.404264033
39.79104517,-86.23894158,-0.418265581
39.7909985,-86.23894145,-0.432207048
39.79095432,-86.23894114,-0.442595005
39.79090575,-86.23894045,-0.447060466
39.79085695,-86.23893952,-0.445216477
39.79080931,-86.23893861,-0.437649667
39.79076006,-86.23893768,-0.420790553
39.79071343,-86.2389368,-0.398959756
39.79066662,-86.23893593,-0.376229048
39.79061674,-86.23893503,-0.349745333
39.79056525,-86.23893411,-0.318439126
39.790515,-86.23893278,-0.303514689
39.79046744,-86.23893069,-0.29103443
39.79041829,-86.23892744,-0.283691406
39.79036757,-86.23892268,-0.282393545
39.79032109,-86.23891708,-0.28926754
39.79027154,-86.23891068,-0.297041863
39.79022187,-86.23890311,-0.300195754
39.79017499,-86.23889544,-0.296763986
39.7901257,-86.23888278,-0.331387639
39.7900762,-86.23887036,-0.34975484
39.79002796,-86.23885826,-0.352313191
39.78997952,-86.2388461,-0.339256704
39.78992948,-86.2388335,-0.306761175
39.78987785,-86.23882048,-0.262336463
39.78983055,-86.23880854,-0.209888935
39.7897804,-86.2387946,-0.151359186
39.78973086,-86.23877736,-0.120034456
39.78968309,-86.2387592,-0.090941519
39.78963402,-86.2387393,-0.063256979
39.78958533,-86.23871747,-0.043130845
39.7895393,-86.23869216,-0.065881431
39.78949327,-86.23866649,-0.073982507
39.78944605,-86.2386389,-0.07490778
39.78939769,-86.23860927,-0.067053735
39.78935371,-86.2385811,-0.060669601
39.78930722,-86.23855021,-0.041942894
39.78925972,-86.23851716,-0.02571559
39.78921526,-86.23848488,-0.00525561
39.78916852,-86.23844938,0.012046099
39.78912391,-86.23841291,0.013754696
39.78908149,-86.23837566,0.004455701
39.78903941,-86.23833742,0.00287427
39.78899511,-86.23829591,0.009816095
39.78895281,-86.238254,0.009913474
39.78891238,-86.23821202,0.009161919
39.78886999,-86.23816642,0.017079711
39.7888293,-86.23812112,0.026229441
39.7887916,-86.23807738,0.045346439
39.788751,-86.23802845,0.07815142
39.78871081,-86.23797882,0.123915568
39.78867457,-86.23793265,0.180979028
39.7886381,-86.23788379,0.231549308
39.78860322,-86.23783045,0.236829594
39.78857004,-86.2377778,0.251063466
39.78853601,-86.23772055,0.246576875
39.78850597,-86.2376621,0.203079
39.78847681,-86.23760276,0.173544675
39.78844836,-86.237545,0.154304162
39.78841906,-86.23748526,0.164684415
39.78839154,-86.23742636,0.183974773
39.78836568,-86.23736845,0.188353941
39.78833897,-86.23730618,0.195082903
39.78831302,-86.23724321,0.206641614
39.78828853,-86.23718148,0.224905729
39.78826504,-86.23711666,0.238275453
39.78824268,-86.23704884,0.243177623
39.78822257,-86.2369842,0.24003312
39.78820281,-86.23691469,0.235020816
39.78818542,-86.23684622,0.212129027
39.7881687,-86.23677506,0.181465626
39.78815547,-86.23670694,0.137083605
39.7881431,-86.23663404,0.084357485
39.78813177,-86.23656062,0.041398674
39.78812244,-86.23649304,0.009494185
39.78811294,-86.23641654,-0.035149217
39.78810532,-86.23634601,-0.06644237
39.78809888,-86.23627507,-0.09892875
39.78809373,-86.23620375,-0.134140253
39.78808965,-86.23612993,-0.171225071
39.78808701,-86.23605581,-0.198930219
39.788085,-86.23598584,-0.229845002
39.78808334,-86.23591127,-0.25462383
39.78808166,-86.23583649,-0.285916656
39.78808003,-86.2357637,-0.316489518
39.78807838,-86.23568849,-0.35115698
39.78807675,-86.23561306,-0.38698706
39.7880751,-86.23553519,-0.421695888
39.78807352,-86.23545932,-0.461495072
39.78807188,-86.23537877,-0.490504086
39.78807035,-86.23530251,-0.518803537
39.78806887,-86.23522832,-0.533353031
39.78806732,-86.23514949,-0.534393191
39.78806581,-86.23507279,-0.52784574
39.78806429,-86.23499598,-0.517632723
39.78806273,-86.23491678,-0.512553394
39.78806117,-86.23483746,-0.51195389
39.78805964,-86.23476029,-0.508051038
39.78805812,-86.234683,-0.522642374
39.7880569,-86.23460328,-0.519550622
39.78805783,-86.23453257,-0.522306323
39.78807436,-86.23445635,-0.552764654
39.78809246,-86.23438326,-0.588379622
39.78812892,-86.23432093,-0.651180029
39.78816455,-86.23426635,-0.692155421
39.78820222,-86.23420791,-0.716903627
39.78822739,-86.23414087,-0.748232961
39.78824354,-86.23407093,-0.778380692
39.78825809,-86.23399581,-0.794654727
39.78827033,-86.2339222,-0.802578211
39.78828027,-86.23385017,-0.809746325
39.78828874,-86.23377546,-0.815887868
39.7882964,-86.23370044,-0.823209643
39.7883038,-86.23362299,-0.830386698
39.7883106,-86.23354753,-0.839697361
39.78831741,-86.23347192,-0.850816607
39.78832444,-86.23339393,-0.861070514
39.78833127,-86.23331802,-0.866554976
39.78833938,-86.23323991,-0.867366374
39.78834794,-86.2331686,-0.856571972
39.78835764,-86.23309748,-0.827718973
39.78836875,-86.23302436,-0.797020555
39.788382,-86.23294716,-0.762689471
39.78839566,-86.23287706,-0.731107473
39.78841233,-86.23280332,-0.715117037
39.7884311,-86.23273047,-0.679886997
39.78845262,-86.23266144,-0.652923346
39.78847343,-86.23259447,-0.634655833
39.78849643,-86.23252366,-0.624545157
39.78851923,-86.23245509,-0.610558212
39.78854297,-86.232387,-0.581482351
39.78856904,-86.23231525,-0.534820676
39.78859611,-86.23224667,-0.477424771
39.78862428,-86.23218152,-0.421732217
39.78865436,-86.23211775,-0.419781864
39.78868752,-86.2320538,-0.429767817
39.78872243,-86.23199134,-0.470779002
39.78875764,-86.23193474,-0.518294394
39.78880329,-86.23188598,-0.542854428
39.7888516,-86.23183832,-0.52292037
39.78889857,-86.23179592,-0.457630455
39.78894839,-86.23175524,-0.370255053
39.78899994,-86.23171885,-0.277055383
39.78905222,-86.23169086,-0.192349702
39.78910572,-86.23166818,-0.108070552
39.78916173,-86.23165027,-0.024298221
39.789218,-86.23163475,0.049228087
39.78927277,-86.23162061,0.107804179
39.78932925,-86.23160612,0.152785212
39.78938589,-86.23159229,0.18373774
39.78944097,-86.23157912,0.205200583
39.7894978,-86.23156553,0.221525162
39.78955475,-86.23155192,0.210564077
39.78961016,-86.23153868,0.185948163
39.78966739,-86.23152501,0.16018416
39.78972477,-86.23151131,0.134246394
39.7897823,-86.23149757,0.106850982
39.78983657,-86.2314846,0.093450502
39.78989435,-86.2314708,0.079968721
39.78995228,-86.23145697,0.051604867
39.79000696,-86.23144391,0.003679469
39.79006349,-86.2314304,-0.033267602
39.79012018,-86.23141686,-0.063079193
39.790177,-86.23140328,-0.092963785
39.79023396,-86.23138968,-0.118182987
39.7902945,-86.23137522,-0.138018847
39.79034996,-86.23136198,-0.149620116
39.79041116,-86.23135193,-0.157966718
39.79047058,-86.23135455,-0.162216842
39.79053005,-86.23135624,-0.165570647
39.79058437,-86.23135778,-0.166940317
39.79064405,-86.23135945,-0.165553316
39.79070382,-86.23136112,-0.162391067
39.79076193,-86.23136273,-0.158114925
39.79082187,-86.23136417,-0.137445673
39.79088186,-86.23136548,-0.118908614
39.79093837,-86.23136702,-0.102892607
39.79099842,-86.23137065,-0.084802374
39.79105833,-86.23137728,-0.079113141
39.79111565,-86.23139019,-0.058986843
39.79117105,-86.2314115,-0.030567542
39.79122764,-86.23143556,0.006984934
39.79128452,-86.23146491,0.041434199
39.79133458,-86.23150511,0.144085333
39.79138319,-86.23155112,0.268923849
39.79142246,-86.23160352,0.365123272
39.79145026,-86.23166287,0.418720186
39.79146022,-86.23173684,0.566085815
39.7914591,-86.23180829,0.717599452
39.79145793,-86.23187756,0.83972317
39.79145671,-86.23195103,0.929025769
39.79145548,-86.23202449,1.009640694
39.79145426,-86.23209799,1.084383249
39.79145306,-86.23216943,1.150056124
39.79145186,-86.23224093,1.19856739
39.79145058,-86.23231676,1.222237349
39.79144936,-86.23238851,1.24427247
39.79144809,-86.23246249,1.266105652
39.79144706,-86.23253659,1.287377596
39.79144986,-86.23260834,1.314881921
39.79145459,-86.23268209,1.33389914
39.79146092,-86.23275571,1.365295887
39.79146995,-86.2328266,1.407129169
39.79147999,-86.23289731,1.470239162
39.79149306,-86.23297131,1.55105722
39.79152591,-86.23302962,1.663881063
39.79156284,-86.23307578,1.695675373
39.79161019,-86.23309764,1.747066021
39.79165702,-86.2331211,1.799198389
39.79169873,-86.23314905,1.85765934
39.79174463,-86.23317883,1.912616968
39.79178947,-86.23320758,1.945965886
39.791832,-86.23323443,1.988235116
39.79187746,-86.2332623,2.024481535
39.79192304,-86.23329014,2.065747261
39.79196927,-86.23332074,2.087171316
39.79200779,-86.2333593,2.103590965
39.79204262,-86.23340326,2.107846975
39.79206909,-86.2334601,2.118122101
39.79209205,-86.23351099,2.127565145
39.79211115,-86.23357033,2.139268637
39.79212752,-86.2336309,2.150497198
39.79213874,-86.23368961,2.154459238
39.79214959,-86.23375605,2.154291153
39.79215974,-86.23381914,2.151560545
39.79216933,-86.23388456,2.149800062
39.79217836,-86.23394854,2.148530006
39.79218694,-86.23401478,2.146592617
39.79219443,-86.23407963,2.144898176
39.79220143,-86.23414293,2.142709017
39.79220865,-86.23420836,2.141052246
39.79221591,-86.23427406,2.143676519
39.79222318,-86.23434001,2.148191214
39.79223062,-86.23440618,2.151278257
39.79223968,-86.23447417,2.153799057
39.79225402,-86.23453629,2.155185223
39.792276,-86.23459603,2.156014204
39.79230139,-86.23465351,2.155766726
39.79233065,-86.23471,2.154171467
39.79235913,-86.23475526,2.152021885
39.79239896,-86.23479859,2.145730257
39.79243927,-86.23484165,2.129967928
39.79247952,-86.23487839,2.112510681
39.79252452,-86.23490829,2.096081972
39.79257195,-86.23493614,2.081447124
39.79261874,-86.23495428,2.0710392
39.79266758,-86.23497056,2.063164473
39.79271809,-86.23498712,2.057174444
39.79276763,-86.23500197,2.052796602
39.79281611,-86.23501553,2.048187256
39.79286791,-86.23502803,2.043248415
39.79292013,-86.23503179,2.044657946
39.79296964,-86.23503289,2.049872637
39.79302079,-86.23503425,2.052185535
39.79307362,-86.23503565,2.047558308
39.7931237,-86.23503699,2.046751738
39.79317693,-86.23503842,2.049574852
39.79322888,-86.23503982,2.050255299
39.79327953,-86.2350412,2.050643206
39.79333186,-86.23504262,2.051377058
39.79338588,-86.2350441,2.052153826
39.79343707,-86.23504549,2.052482367
39.79348845,-86.23504626,2.053492069
39.79354303,-86.23504717,2.054143906
39.79359779,-86.23504808,2.054875374
39.79364815,-86.23504891,2.055216551
39.79370327,-86.23504981,2.056416512
39.79375857,-86.23505071,2.057162762
39.79381095,-86.23505156,2.057723999
39.7938666,-86.23505246,2.05869627
39.79392242,-86.23505335,2.059619904
39.79397684,-86.23505422,2.060295343
39.79403143,-86.23505509,2.061297417
39.79408772,-86.23505535,2.062423944
39.79414418,-86.2350556,2.063531876
39.79419923,-86.23505584,2.064272642
39.794256,-86.23505608,2.065432072
39.79431293,-86.23505632,2.066227913
39.79436684,-86.23505653,2.06695509
39.79442249,-86.23505675,2.068478346
39.79447827,-86.23505697,2.069299698
39.79453419,-86.23505717,2.07018137
39.79459186,-86.23505738,2.071563482
39.79464808,-86.23505758,2.07261014
39.79470604,-86.23505778,2.073650599
39.79476254,-86.23505783,2.074710369
39.79482078,-86.23505766,2.075643539
39.79487916,-86.23505749,2.076898575
39.79493442,-86.23505732,2.07779026
39.79499307,-86.23505714,2.079270601
39.79505186,-86.23505695,2.08028841
39.79510751,-86.23505677,2.081339121
39.79516821,-86.23505656,2.082824945
39.79522904,-86.23505634,2.083989382
39.79528835,-86.23505613,2.085188866
39.79534613,-86.23505591,2.086410761
39.79540569,-86.23505569,2.087719917
39.79546704,-86.23505544,2.088738441
39.79552518,-86.23505482,2.09002614
39.79558011,-86.23505403,2.090997934
39.79564015,-86.23505317,2.09207201
39.79569698,-86.23505236,2.091092825
39.79575727,-86.23505151,2.091384649
39.79581766,-86.23505013,2.093003988
39.79587816,-86.23504856,2.098555088
39.79593708,-86.23504683,2.107335091
39.79599943,-86.23504405,2.11453867
39.79606019,-86.23504113,2.117319107
39.79612107,-86.23503821,2.117995501
39.79618206,-86.23503529,2.117546558
39.79624316,-86.23503237,2.11777854
39.79630098,-86.23502962,2.117831707
39.79636401,-86.23502663,2.117950678
39.79642545,-86.23502372,2.117539883
39.79648357,-86.23502096,2.116849184
39.79654523,-86.23501806,2.118144512
39.79660871,-86.23501507,2.117795706
39.79666886,-86.23501225,2.117349863
39.79672913,-86.23500972,2.119381428
39.79679467,-86.23500809,2.121490717
39.79685858,-86.23500776,2.122246742
39.7969174,-86.23500843,2.122816801
39.79698318,-86.23501175,2.123303413
39.79704682,-86.23502095,2.124593735
39.79710648,-86.23503379,2.124456882
39.79716681,-86.235053,2.115837574
39.79722811,-86.2350759,2.094605684
39.7972857,-86.23509976,2.076011896
39.79734376,-86.23512862,2.060693264
39.79740236,-86.23516647,2.023848295
39.79745226,-86.23521341,1.965069175
39.79749802,-86.23526351,1.901354313
39.79754043,-86.23532104,1.84009552
39.79757617,-86.2353877,1.784294486
39.79759652,-86.23545957,1.738962531
39.79760274,-86.23553904,1.699696422
39.79759772,-86.23562044,1.672037005
39.7975818,-86.23569011,1.665355325
39.79756382,-86.23576574,1.65525651
39.7975453,-86.23583907,1.644065499
39.79752664,-86.23591253,1.637802482
39.79750795,-86.23598388,1.636914849
39.79748926,-86.2360554,1.632052779
39.79747037,-86.23612702,1.620129585
39.79744956,-86.23620022,1.619545817
39.79742794,-86.23627317,1.618106246
39.79740632,-86.23634629,1.611091852
39.79738755,-86.23641393,1.604227066
39.79737698,-86.23649227,1.596583009
39.79737306,-86.2365676,1.592786074
39.79737123,-86.23664098,1.585441709
39.79737473,-86.23671396,1.57658124
39.79739013,-86.23678769,1.567709804
39.79741074,-86.23685947,1.558821917
39.79744294,-86.23691744,1.549552441
39.79748004,-86.23697888,1.541085958
39.79751865,-86.23703591,1.535676003
39.79755888,-86.23708133,1.531294584
39.79760527,-86.23712267,1.530198336
39.79765411,-86.23716314,1.530401945
39.79770867,-86.23718535,1.531335473
39.79776321,-86.23719833,1.53300786
39.79781969,-86.23720154,1.533865213
39.79787785,-86.23720113,1.534422636
39.79793105,-86.23719576,1.534901261
39.79798538,-86.23717921,1.535991669
39.79803579,-86.23714372,1.536024928
39.79807526,-86.23709962,1.535879612
39.79811545,-86.23705031,1.537055731
39.79815288,-86.23699757,1.537285447
39.79818541,-86.23694474,1.536697149
